id,eng,afr,tsn,nso,sot,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info
dsac_natural_sciences_and_technology_dictionary_sotho_2496,tissue,weefsel,togwa,thišu,thishu,,e.g. nervous tissue,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2497,toad,platanna,segwagwa,segwagwa / segwegwe,marokolo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2498,toaster,broodrooster,sekwamisi / segwamisi,sebešasenkgwa / thosethara,thousetara,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2499,toe,toon,monwana wa leoto,monwanaleoto,monwana wa leoto,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2500,tolerate,verdra,emelelana / kgotlelela,kgotlelela,mamella / tiisetsa,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2501,tomato,tamatie,tamati,tamati,tamati,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2502,ton / long ton,imperiale ton,tono,tone / tonekgolo,tone,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2503,tongue,tong,loleme,leleme,leleme,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2504,tool,gereedskap / werktuig,sediriswa,setlabelo / kgerekgere / thulusi,sesebediswa,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2505,tooth,tand,leino,leino,leino,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2506,tooth cavity,karies,phatlhaino,lešobaino,sekoti leinong,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2507,tooth decay,tandbederf,poloino / polomeno,poloino,ho bola ha leino,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2508,tooth-like leaf,getande blaar,letlhareseino,letlakalabokaino,lehlaku le keketlehileng,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2509,topsoil,bogrond,mmugodimo,mobugodimo,mobu o ka hodimo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2510,torch,flitslig,totšhe,thotšhe,totjhe,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2511,tornado,tornado,kgwanyape,ledimo / mamogašwa / mamokebe,kganyapa,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2512,torque,wringkrag,maatlatikoloso,thokho,toko,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2513,torsion,wringing,tikoloso,go sopa,sotha,,mechanics,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2514,tortoise,skilpad,khudu,khudu,kgudu / sekolopata,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2515,touch,tassintuig,kamo / kgomo,mokgwatho,thetso,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2516,toughness,taaiheid,bopopota / bothata,bothata,bothata,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2517,toxic,toksies,botlhole,ya mpholo,tjhefu,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2518,tracing paper,natrekpapier,pampirikgatisi,lephephegatiši / pampirigatiši,pampiri e hatiseletsang,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2519,tract,landstreek,naga,mogola,lesabasaba,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2520,tractor,trekker,terekere,terekere,terekere,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2521,trail,spoor,motlhala,mohlala,mohlala,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2522,transfer,oordrag,tshutiso,tšhutišo / phetišo,phetisetso,noun,e.g. physics,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2523,transformer,transformator,sefetodi,thransfoma / transfoma,sefetolamatla a motlakase,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2524,transistor,transistor,selaodi,transistara / thransistara,teransistara,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2525,translucent,deurskynend,letobo,thranslusente / galase ye e sa bonatšego,lerootho,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2526,transmission,transmissie / deurlating,phetiso,phetišetšo,phethiso ya matla a letsatsi,,radiant energy,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2527,transmission,transmissie,phetiso,thomelomoyeng,phetiso,,radio signals,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2528,transmit,oorbring / transmitteer,fetisa,romela moyeng,fetisa,verb,radio signals,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2529,transmit,uitstraal,fetisa,fetiša,fetisa,verb,radiant energy,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2530,transmitter,sender,phetisi,sefetišetši,sefetisi,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2531,transparent,deursigtig,bonatsang,bonagatšago,bonaletsa,,e.g. glass,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2532,transpiration,transpirasie,phufulelo / phufulo,kemohlare / kemodihlare,phufulelo,,e.g. plants,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2533,transplant,oorplanting,jalalelo,pšalollo,ho hlomolla ha sengaka,noun,medical technology,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2534,transplant,verplant,jalalela,bjalolla,hlomolla / karo,verb,plants,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2535,transport,vervoer,rora / thota,rwala,tsamaisa,verb,e.g. plants or water,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2536,tray,skinkbord,therei,threyi,mokete / therei,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2537,tree,boom,setlhare,mohlare,sefate,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2538,tree trunk / trunk,boomstam,kutu / thito,kutu ya mohlare,kutu ya sefate,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2539,tripod,driepoot,matshego,treefute,setshehetsi sa maoto a mararo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2540,trip switch,uitklinkskakelaar,switšhithibedi / konopothibedi / kgokgwanethibedi,switšhi,switjhi e itihang,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2541,troposphere,troposfeer,llagawapi ya ntlha,throposfie,troposfere,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2542,trout,forel,theraoto,thraote,teraoto,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2543,trout hatchery,forelbroeiplek,bothuthusetso jwa theraoto,thraote,boqhotsetsong ba teraoto,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2544,trunk,romp,mmele,sebelebele,mmele,,anatomy,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2545,tub,bak,thabo,setšhelo,setshelo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2546,tube,buis,lela / tšhupu,tšhupu,tjhupu,,experiments,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2547,tuber,knol / bol,segwere,semodu / segwere,kotola,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2548,tubular,buisvormig,-tšhupu,ya tšhupu,seka tjhupu,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2549,tuft,pol,kaba / serite / leodi / tlopo,tšhutla / kukuta / mpedi / tlopo / boditsi,sehlotho,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2550,tuna,tuna,tšhuna,tšhuna,tjhuna,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2551,tungsten,wolfram,setswakatshipi,thangsetene,thangstene,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2552,tuning button,instelknop,konopotlhophoseteišene,thunara ya radio,sebatlamaqhubu a radiyo,,radio,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2553,tunnel,tonnel,kgogometso / mogorogoro / mogogoro,thanele,mohohoma,noun,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2554,turbine,turbine,thebaene,thepaine,lefehlo,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2555,turpentine,terpentyn,teramotene,thapenthaine,teramotene,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2556,turtle,waterskilpad,kgantlapane / rampidiane / khadubane,pshinyaleraga,kgudubane,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2557,turtle dove,tortelduif,leeba,mokurwane / mokunkurwane,leebanakgorwana,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2558,twig,takkie,kalana,lekalana / lekabjana / thabjana,lekalana,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2559,twin,tweeling,lewelana / lefatlha,lefahla,lefahla,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2560,twist,vleg,otlha,sopa / nyopa,sotha,verb,e.g. cables,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2561,twisting force,wringkrag,kurufolola / maatlatshokeletso,maatlasopa / maatlanyopa,tshutumetso e sothang,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2562,two-dimensional,tweedimensioneel,tlhakorepedi,ya ponagalo hlakorepedi,e ntlhapedi,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2563,typhoid fever / typhoid,buiktifus / ingewandskoors,letshoromo la mala / letshoromo,tengkgolo / lešala,feberu ya mala,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2564,tyre,buiteband,thaere,thaere,thaere,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2565,ultraviolet radiation,ultravioletstraling,marang kalafi,mahlase a aletherabaelete,mahlasedi a phekolang,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2566,U-magnet,U-magneet / hoefmagneet,makenetetlhakopitse,U-makenethe,makenete wa u / setala sa u,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2567,umbilical cord,naelstring,kalana,kalana,lelana la thari,,,,,,,,,,
dsac_natural_sciences_and_technology_dictionary_sotho_2568,underutilize,onderbenut,go se dirise ka botlalo,se sa dirišwego ka botlalo,tshebediso e fokolang,,,,,,,,,,
