id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_mathematics_dictionary_r_to_6_346,explanation,verduideliking,incazelo,inkcazo,inchazelo,ihlathululo / incazelo,tlhaloso,tlhalošo,tlhaloso,ṱhalutshedzo,nhlamuselo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_347,explore,ondersoek,cubungula,ukuhlola / phicotha / phonononga,hlola / hlwaya,hlola,tlhotlhomisa,utulla / hlohlomiša,pholletsa,-sedzulusa,valanga,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_348,exponent,eksponent,umphindaphindi,inani lokuziphindaphinda,i-eksponenti,i-eksponende,katisanyi,palomatlafatši,eksponente,tsumbavhuḓiandisi,ekisiponente,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_349,exponential,eksponensiaal,umphindwa,ngemo yokuziphindaphinda,kuphindzaphindzakwelula,-bu-eksponende,katisetso,palomatlafatšwa,ka eksponente,tshisumbavhuḓiandisi,vuekisiponente,adjective,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_350,extend,uitbrei,nweba / khulisa,yandisa / yolula,khulisa / enweba,khulisa / nabisa,atolosa / oketsa,katološa / oketša / godiša,atolosa,hudza / engedza,ndlandlamuxa,,"e.g. a domain, theorem or plane",,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_351,extra,ekstra,ngaphezu,ngaphezu / okongeziweyo,-ngetiwe / ngetulu,ngezelelweko,koketsego,koketšo / tlaleletšo,ho feta,nyingo,xengetelo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_352,face,gesig,ubuso,ubuso,buso,ubuso,sefatla,sefahlego,sefahleho,nga phanḓa ha,xikandza,,clock,,,bewashi,,,,,,,,,,,,,,,watshi,,
dsac_multilingual_mathematics_dictionary_r_to_6_353,face,vlak,icala,imbonakalo,licele,ihlangothi,letlhakore,lehlakore,lehlakore,lurumbu,tlhelo,,three-dimensional geometric shape,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_354,fact,feit,isiqiniseko,inqaku / inyaniso / into eyenzekileyo,liciniso,iqiniso,ntlha,ntlha / taba,ntlha / nnete,mbuno,ntiyiso,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_355,factor,faktor,isiphindi,inani elingena kwelinye / ifektha,tiphindzi / ifektha,imbuyelelwa / ifektha,palokatiso,katišani / palokatiši,fektha,tshivhumbi,xiandziso / fekitara,noun,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_mathematics_dictionary_r_to_6_356,fault,op ‘n fout betrap,-ona / bamba iphutha,hlaba amadlala,enta liphutsa / phosisa,bona umtjhapho,go supa phoso,go laetša phošo,hlwaya phoso / bona phoso,-wana vhukhakhi,sola,verb,,,,,,,,,,,,,,,,,,,,,
