id,eng,afr,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_natural_sciences_and_technology_for_grade_4_to_6_453,conduction,geleiding,phirisafulufulu,mfambiso,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_454,conductor,geleier,tshifhirisafulufulu,xifambisi,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_455,cone,keël,khounu,mpalu / khoni / tshevula,,e.g. seed of pine tree,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_456,cone-bearing,keëldraend,tshiaṋwakhounu,xo tswala timpalu,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_457,cone-bearing plant,keëldraende plant,muri muaṋwakhounu,murhi wo tswala timpalu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_458,conical,keëlvormig,tsha khounu,xa khoni,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_459,connection,verbinding,ṱhumano / ṱhanganyo,nhlanganiso,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_460,connective,verbindend,-ṱumanyaho,lexi hlanganisiweke,adjective,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_461,conservation,bewaring,ndondolo,nhlayiso,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_462,conserve,konserf,zwivhulungwa,xihlayisiwa,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_463,conserve,bepaar,-vhavhalela / -vhulunga,hlayisa,verb,water,,,,,,mati
dsac_natural_sciences_and_technology_for_grade_4_to_6_464,conserve,bewaar,-tsireledza / -londota / -londola,hlayisa,verb,protection of e.g. living things,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_465,constituent,bestanddeel,tshipiḓa,xiphemu,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_466,constraint,begrensing / beperking,tshiiledzi / tshikundisi,xisivelo / xipimelo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_467,construction,konstruksie,u fhaṱa / u vhumba,vuaki,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_468,construction kit,konstruksietoerusting,zwishumiswa zwa u fhaṱa,switirhisiwa swo aka,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_469,contact force,kontakkrag,maanḓakhwamano,matimba yo hlanganisa,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_470,container,houer,mudzio / tshifaro,xikhomelo / khontheyina / xitamelo,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_471,continued existence,volgehoue voortbestaan,ndalamo,ku hanya / vukona,,e.g. species,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_472,contour feather,kontoerveer,kuthenga,tinsiva ta xipesu,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_473,contract,saamtrek,-hwetekanya,tsongahata / kokotsana / khwanyana,verb,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_474,contraction,saamtrekking,muhwetekano,nkhwonyano / ntsongahato / nkokotsano,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_475,control,kontrole,ndango,malawulelo / mfambiso,noun,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_476,control panel,kontrolepaneel,phaneḽe ya ndango,bokisi ro lawula,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_477,convection,konveksie,phirisavhududo,mfambiso wa nkahelo,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_478,convection current,konveksiestroom,lutsinga lwa phirisavhududo,moya-mfambiso,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_479,conversion,omsetting,tshandukiso,ndzhundzhuluko-xivumbeko,,,,,,,,
dsac_natural_sciences_and_technology_for_grade_4_to_6_480,convert,verander in,-shandukisa,hundzuluxa,,,,,,,,
