id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_life_orientation_terminology_term_list_47,appreciate,waardeer,ukubonga / ukutusa,bulela / ncoma,bonga / dvumisa / ncoma,-thokozela / -bukako,itumella / lebogela / kgatlhegela,-leboga / -thabela,-ananela,livhuwa,khensa,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_48,apprentice,vakleerling / nuweling / beginner,ithwasa / imfunda,umqeqeshwa,umfundzimsebenti,umafundana womsebenzi / umfundimsebenzi / i-aphrenthisi,maithutwane / mokatiswa,motataišwa / morutiwa,morupelwa,mugudiswa,madyondzantirho,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_49,appropriate,gepas / geskik,okufanele,-fanelekileyo / -fanelekile,-emukelekile / -fanelekile,-faneleko / -lungileko,matshwanedi / maleba,-lebanego / -nepagetšego,-tshwanela,teaho / fanelaho,fanela,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_50,appropriate language,gepaste taal / geskikte taalgebruik,ulimi olufanele,intetho efanelekileyo,lulwimi lolwemukelekile,ilimi elifaneleko / ilimi elilungileko,puomatshwanedi / puomaleba,polelo ye e nepagetšego,puo e tshwanelehileng,luambo lwo teaho,ririmi leri faneleke,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_51,archaeologist,argeoloog,umcwaningi wezinto zasemandulo,ingcali yeakhiyoloji,umcwaningindzabuko,umphenyindabuko / umphendlindabuko / um-akhiyoloji,moakhioloji / moithutamasalela,moakhiolotši,akheolojiste,mugudamasalela,mutivamarhumbi,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_52,argument,redenasie / beredenering / argument,uvo / umbono,ingxoxo,bufakazi,ukukhulumela / ukusekela,ngangisano / phigisano / kganetsano,ngangišano,kgang,ṱhaṱhisano / ṅaṅisano,njhekanjhekisano,,reason,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_53,arm fling,armswaai,ukuzithwishila,ukujiwuzisa iingalo,kujikitisa umkhono,ukujuguja imikhono,tsamaisoletsogo,phatlalatša matsogo,ho otlolla letsoho,u dzungulusa zwanḓa,ku rhendzelexa mavoko,,exercising,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_54,article,artikel,udaba / umbhalo,inqaku,indzaba ephephandzabeni / indzaba ephephabhukwini / i-athikili,umtlolondaba / i-athikili,kgang / athikele,sengwalwa,atikile,ḽianetshelo / atikili,xitsariwa,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_55,assess,takseer / assesseer / beoordeel,ukuhlola / ukuvivinya,hlola / vavanya,linganisa / hlola,-linganisa / -hlola,tlhatlhoba,-lekola,-lekola,gaganya / ṱhaṱhuvha,hlela,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_56,assessment,assessering / taksering / beoordeling,isivivinyo / ukuhlola,uhlolo / uvavanyo,kulinganisa / luhlolo,ukulinganisa / ukuhlola,tlhatlhobo,tekolo / kelo,tekolo,ngaganyo / ṱhaṱhuvho,mahlelelo,,,,,,,,,,,,,,,,,,,,,,
