id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_institutional_terminology_160,Faculty Plan and Agreement,Ditumelelano le Dipeakanyo/Dithulaganyo tsa Lefapha,Fakulteitsplan en -ooreenkoms,,,,,,
up_glossary_institutional_terminology_161,feedback,karabo,terugvoering,may include perusal,,e ka akareta tekolo,,snw / mag insae insluit,
up_glossary_institutional_terminology_162,fellow/ fellow,modirisani/modirisani wa dinyakisito,studiegenoot,,,,,,
up_glossary_institutional_terminology_163,field of study,karolo ya thuto,studierigting,,,,,,
up_glossary_institutional_terminology_164,final-year school certificate,setifikeiti sa ngwaga wa mafelelo wa sekolo,finalejaarskoolsertifikaat,,,,,,
up_glossary_institutional_terminology_165,final-year student,moithuti wa ngwaga wa mafelelo,finalejaarstudent,,,,,,
up_glossary_institutional_terminology_166,first-semester subjects,dithutwana tsa kgweditshela ya mathomo,eerstesemestervakke,,,,,,
up_glossary_institutional_terminology_167,first-year student,moithuti wa ngwaga wa mathomo,eerstejaarstudent,,,,,,
up_glossary_institutional_terminology_168,Fitness Friday,Labohlano la Maphelo,FiksheidsVrydag,,,,,,
up_glossary_institutional_terminology_169,FLY@UP project,Protseke ya FLY@UP,FLY@UP-projek,,,,,,
up_glossary_institutional_terminology_170,FNB Varsity Cup,Sebjana sa Yunibesithi sa FNB,FNB-Varsitybeker,,,,,,
up_glossary_institutional_terminology_171,Forfeit,lahlegelwa,verbeur,,,,,,
up_glossary_institutional_terminology_172,foundation module,thutwana ya mo,grondslagmodule,,,,,,
up_glossary_institutional_terminology_173,Framework,Tlhako,raamwerk,,,,,,
up_glossary_institutional_terminology_174,front page,letlakala la ka pele,voorblad,,,,,,
up_glossary_institutional_terminology_175,Full or Foreign/Immigrant Conditional Exemption Certificate,Setifikeiti sa Tokollo sa Peelano sa Bafaladi/Ba go tlala goba Ba ka ntle,Algehele of Vreemde/Immigrante Voorwaardelike Vrystellingsertifikaat,,,,,,
up_glossary_institutional_terminology_176,full-time studies,Dithuto tsa botlalo,voltydse studie,,,,,,
up_glossary_institutional_terminology_177,Gauteng Football Cup,Sebjana sa Kgwele ya Maoto sa Gauteng,Gauteng-sokkertrofee,,,,,,
up_glossary_institutional_terminology_178,general alteration,phetoso ya kakareto,algemene wysiging,,,,,,
up_glossary_institutional_terminology_179,Genomics Research Institute,Institute ye Dinyakisito tsa Ditsenomiki,Instituut vir Genomikanavorsing,,,,,,
up_glossary_institutional_terminology_180,Glaskas,Glaskas,Glaskas,name of building,,leina la moago,,gebounaam,
up_glossary_institutional_terminology_181,Gown,seaparo sa dialoga,toga,,,,,,
up_glossary_institutional_terminology_182,Grade 12 examination,Ditlhahlobo tsa Kreiti ya 12,Graad 12-eksamen,,,,,,
up_glossary_institutional_terminology_183,graduanda,graduanda,graduanda,feminine; singular,,bosadi; botee,,vroulik; enkelvoud,
up_glossary_institutional_terminology_184,graduandi,graduandi,graduandi,masc + fem; plural,,bonna + bosadi; bontsi,,manlik + vroulik; meervoud,
up_glossary_institutional_terminology_185,graduandus,graduandus,graduandus,masculine; singular,,bonna; botee,,manlike; meervoud,
up_glossary_institutional_terminology_186,graduate - graduates,Sealoga - dialoga,graduandus - graduandi ; look diplomakandidaat - diplomakandidate,sing / pl,,botee / bontsi,,ekv / mv / ekv / mv,
up_glossary_institutional_terminology_187,graduation ceremony,moletlo wa dialoga,gradeplegtigheid,,,,,,
up_glossary_institutional_terminology_188,Grant Management,Taolo Thekgo ya Ditshelete,Bestuur van Skenkings,,,,,,
up_glossary_institutional_terminology_189,Head: Student Administration,Hlogo: Taolo ya Baithuti,Hoof: Studenteadministrasie,,,,,,
up_glossary_institutional_terminology_190,heads of department,dihlogo tsa mafapha,departementshoofde,,,,,,
up_glossary_institutional_terminology_191,higher education,thuto ya godimo,hou00ebr onderwys,,,,,,
up_glossary_institutional_terminology_192,higher education institution,institute ya thuto ya godimo,hoeronderwysinstelling,,,,,,
up_glossary_institutional_terminology_193,Higher Education Qualifications Framework,Tlhako ya Dithuto tsa Thuto ya Godimo,Hoeronderwyskwalifikasieraamwerk,HEQF,,,,,
up_glossary_institutional_terminology_194,Higher Education Quality Committee,Komiti ya Boleng ya Thuto ya Godimo,Hoeronderwyskwaliteitskomitee,HEQC,,,,,
up_glossary_institutional_terminology_195,Higher Education South Africa obsolete - now Universities South Africa,Thuto ya Godimo ya Afrika Borwa - ya kgale . gonabjale ke Diyunibesithi tsa Afrika Borwa,Hou00ebr Onderwys Suid-Afrika - verouderd. Nou Universiteite Suid-Afrika,HESA,,,,,
up_glossary_institutional_terminology_196,Higher Grade,Kreiti ya Godimo,Hoergraad,,,,,,
up_glossary_institutional_terminology_197,honorary degree,tikrii ya tlhompho,eregraad,,,,,,
up_glossary_institutional_terminology_198,honorary doctorate,tikrii ya bongaka ya tlhompho,eredoktorsgraad,,,,,,
up_glossary_institutional_terminology_199,honorary professor,profesa ya tlhompho,ereprofessor,,,,,,
up_glossary_institutional_terminology_200,honoris causa,honoris causa,honoris causa,h.c. / always lower case,,h.c / e dula e le ditlhaka tse di nnyane,,h.c. / altyd kleinletters,
up_glossary_institutional_terminology_201,honours degree/examination,Tikrii ya onase/tlhahlobo,honneursgraad/honneurseksamen,,,,,,
up_glossary_institutional_terminology_202,honours student,baithuti ba onase,honneursstudent,,,,,,
up_glossary_institutional_terminology_203,Hood,mongatse wa dialoga,skouerband,,,,,,
up_glossary_institutional_terminology_204,HR Management,Taolo ya Methopo ya Batho,MH-bestuur,,,,,,
up_glossary_institutional_terminology_205,human capital,matlotlo a batho,mensekapitaal,,,,,,
up_glossary_institutional_terminology_206,Human Resources Committee,Komiti ya Methopo ya Batho,Menslikehulpbronkomitee,,,,,,
up_glossary_institutional_terminology_207,human sciences,disaense tsa batho,mensewetenskappe,,,,,,
up_glossary_institutional_terminology_208,humanities education,thuto ya bomotho,geesteswetenskaplike opvoedkunde,,,,,,
up_glossary_institutional_terminology_209,ID number,Nomoro ya Boitsebiso,ID-nommer,,,,,,
up_glossary_institutional_terminology_210,Indemnity,tefo,vrywaring,,,,,,
up_glossary_institutional_terminology_211,induction programme,lenaneo la tsebiso,bekendstellingsprogram,,,,,,
up_glossary_institutional_terminology_212,Information and Technology Committee,Komiti ya Tshedimoo le Theknoloti,Inligting- en Tegnologiekomitee,,,,,,
