id,eng,nso,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
up_glossary_general_terminology_72,embargo,embargo,embargo,,,,,,
up_glossary_general_terminology_73,emeritus professor,profesa yo a rotsego mosomo,emeritusprofessor,,,,,,
up_glossary_general_terminology_74,Employee Assistance Programme,Lenaneo la Thuso ya Basomi,Werknemerhulpprogram,EAP at UP,,EAP at UP,,EAP at UP,
up_glossary_general_terminology_75,endocrinology,endokrinoloti,endokrinologie,,,,,,
up_glossary_general_terminology_76,energy security,tshireletso ya eneti,energie-sekuriteit,,,,,,
up_glossary_general_terminology_77,Engineering Council of South Africa,Khansele ya Boentsenere ya Afrika Borwa,Ingenieursraad van Suid-Afrika,ECSA,,,,IRSA,
up_glossary_general_terminology_78,environmental and occupational health track,tselana ya maphelo a mosomo le tikologo,omgewings- en arbeidsgesondheid-spoor,,,,,,
up_glossary_general_terminology_79,environmental engineering,boentsenere bja tikologo,omgewingsingenieurswese,,,,,,
up_glossary_general_terminology_80,environmental physiology,boentsenere bja fisioloti,omgewingsfisiologie,,,,,,
up_glossary_general_terminology_81,ethology,etholoti,etologie,,,,,,
up_glossary_general_terminology_82,event,tiragalo,geleentheid,,,,,,
up_glossary_general_terminology_83,events checklist,lenaneotekolo la ditiragalo,geleentheidskontrolelys,,,,,,
up_glossary_general_terminology_84,events coordinator,mokgokaganyi wa ditiragalo,geleenheidskoördineerder,,,,,,
up_glossary_general_terminology_85,events management,taolo ya ditiragalo,geleentheidsbestuur/geleentheidspan,,,,,,
up_glossary_general_terminology_86,Executive,Bolaodi/Taolo,Hoofbestuur,,,,,,
up_glossary_general_terminology_87,extraordinary lecturer,mofahloi wa go ikgetha,buitengewone dosent,,,,,,
up_glossary_general_terminology_88,extraordinary professor,profesa wa go ikgetha,buitengewone professor,,,,,,
up_glossary_general_terminology_89,Faculty Board,Boto ya Lefapha,Fakulteitsraad,,,,,,
up_glossary_general_terminology_90,FAO: Food and Agriculture Organisation of the United Nations,FAO: Mokgatlo wa Dijo le Temo wa Kopanoditshaba,FAO: Verenigde Nasies se Organisasie vir Voedsel en Landbou,,,,,,
up_glossary_general_terminology_91,flour materials,dimateriale/didiriswa tsa folouro,fluorietmateriale,,,,,,
up_glossary_general_terminology_92,flow,elela,Toevloei,,,,,,
up_glossary_general_terminology_93,foetal alcohol syndrome,bolwetsi bja monagano lesea leo le se a hlwago le belegwa bjoo bo amanago le ge mma a be a enwa tagi/alkoholo,fetale alkoholsindroom,,,,,,
up_glossary_general_terminology_94,Food and Agriculture Organisation of the United Nations,Mokgatlo wa Dijo le Temo wa Kopanoditshaba,Verenigde Nasies se Organisasie vir Voedsel en Landbou,FAO,,,,FAO,
up_glossary_general_terminology_95,food security,tshireletso ya dijo,voedselsekuriteit,,,,,,
up_glossary_general_terminology_96,formative qualifications,dithuto tsa motheo,formatiewe kwalifikasies,as opposed to professional qualifications,,kgahlanong le dithuto tsa profesene/bokgoni,,teenoor professionele kwalifikasies,
up_glossary_general_terminology_97,friendly reminder,kgopotso ya segwera,onthou asseblief: OF Onthou asseblief om,,,,,,
up_glossary_general_terminology_98,front office,ofisi ya ka pele,voorkantoor OF bestuurskantoor,,,,,,
up_glossary_general_terminology_99,Fulbright Scholar,Moithuti wa Fulbright,Fulbright-beurshouer,,,,,,
up_glossary_general_terminology_100,Function,Moletlo,geleentheid,,,,,,
up_glossary_general_terminology_101,functionary,ya mohola,funksionaris,,,,,,
up_glossary_general_terminology_102,fund-raising,go kgoboketsa matlotlo,fondsinsameling,,,,,,
up_glossary_general_terminology_103,gene mining,meepo ya leabela,geenbenutting,,,,,,
up_glossary_general_terminology_104,Google applications,Ditiriso ta Google,Google-toepassings,,,,,,
up_glossary_general_terminology_105,governance,taolo,bestuur-en-beheer bestuurstoesig,,,,,korporatiewe,
up_glossary_general_terminology_106,Health Professions Council of South Africa,Khansele ya Diprofesene tsa Maphelo tsa Afrika Borwa,Raad vir Gesondheidsberoepe van Suid-Afrika,HPCSA,,HPCSA,,HPCSA,
up_glossary_general_terminology_107,Health Sciences Consortium,Khonsotiamo ya Disaense tsa Maphelo,Gesondheidswetenskappe Konsortium,HSC,,,,GWK,
up_glossary_general_terminology_108,healthcare,tlhokomelo ya maphelo,gesondheidsorg,,,,,,
up_glossary_general_terminology_109,HIGCSE,HIGCSE,HIGCSE,Higher International General Certificate (Cambridge) of Secondary Education,,Higher International General Certificate (Cambridge) of Secondary Education,,Higher International General Certificate (Cambridge) of Secondary Education,
up_glossary_general_terminology_110,High Court,Kgorokgolo ya Tsheko/Kgorotsheko ya Godimo,Hoë Hof,,,,,,
up_glossary_general_terminology_111,HIV/Aids,HIV/Aids,MIV/Vigs,,,,,,
up_glossary_general_terminology_112,human economy programme,lenaneo la ekonomi ya batho,menslike-ekonomieprogram,,,,,,
up_glossary_general_terminology_113,human papilloma virus,baerase ya papilloma ya batho,menslike papilloomvirus,,,,,,
up_glossary_general_terminology_114,Human Resource Committee,Komiti ya Methopo ya Batho,Menslikehulpbronkomitee,,,,,,
up_glossary_general_terminology_115,Human Resource Management,Taolo ya Methopo ya Batho,Menslikehulpbronbestuur,,,,,,
up_glossary_general_terminology_116,human rights law,molao wa ditokelo tsa batho,die reg ten aansien van menseregte,,,,,,
up_glossary_general_terminology_117,ICF-CY: International Classification of Health and Disability Function - Child and Youth Version,Moletlo wa Tlhopho ya Ditshabatshaba,ICF-CY: International Classification of Health and Disability Function - Child and Youth Version (Internasionale Klassifikasie van Gesondheids-,,,ICF-CY: International Classification of Health and Disability Function,Child and Youth Version,,
up_glossary_general_terminology_118,IEB,IEB,OER,Independent Examinations Board,,Boto ya Ditlhahlobo ye e Ikemelago,,Onafhanklike Eksamenraad,
up_glossary_general_terminology_119,Institute for Scientific Information,Institute ya Disaense tsa Tshedimoso,Instituut vir Wetenskaplike Inligting,ISI,,ISI,,ISI,
up_glossary_general_terminology_120,Institute of Electrical and Electronics Engineers,Institute ya Mehlagase le Boraentsenere ba Dielektroniki,Instituut van Elektriese en Elektroniese Ingenieurs,IEEE,,IEEE,,IEEE,
up_glossary_general_terminology_121,International Bibliography of the Social Sciences,Bibliokrafi ya Ditshabatshaba ya Disaense tsa Leago,Internasionale Bibliografie van die Sosiale Wetenskappe,IBSS,,,,IBSS,
up_glossary_general_terminology_122,internet,inthanete,internet,lower case,,tlhaka ye nnyane,,kleinletter,
up_glossary_general_terminology_123,IRBA,IRBA,ORRO,Independent Regulatory Board for Auditors,,Boto ya Taolo ye e Ikemelago ya Bahlakisi,,Onafhanklike Regulatoriese Raad vir Ouditeurs,
up_glossary_general_terminology_124,ITC,ITC,ABT Aanvanklike bevoegdheidstoets,iro SAICA / Initial test of competence,,iro SAICA / Teko ya pele ya bokgoni,,mbt SAIGR,
up_glossary_general_terminology_125,landscape architecture,thutaboagi ya tebego ya naga,landskapsargitektuur,,,,,,
up_glossary_general_terminology_126,legal advocacy,thekgo ya molao,regsvoorspraak,,,,,,
up_glossary_general_terminology_127,M.Akad.SA,M.Akad.SA,L.Akad.SA,,,,,,
up_glossary_general_terminology_128,macroeconomic,maekro-ekonomi,makro-ekonomies,,,,,,
up_glossary_general_terminology_129,mainframe,tshepetso ya motheo,hoofraam,,,,,,
up_glossary_general_terminology_130,Mammal Research Institute,Institute ya Dinyakisiso tsa Diamusi,Soogdiernavorsingsinstituut,MRI,,,,SNI,
up_glossary_general_terminology_131,mammalogy,thuto ya diamusi,soogdierkunde,,,,,,
up_glossary_general_terminology_132,Mandela Day,Letsatsi la Mandela,Mandeladag,,,,,,
up_glossary_general_terminology_133,media release,tokollo ya bobegaditaba,mediaverklaring,,,,,,
up_glossary_general_terminology_134,medical cover,kakaretso ya kalafo,mediese dekking,,,,,,
up_glossary_general_terminology_135,memorandum of understanding,memorantamo wa kwesisano,memorandum van verstandhouding,,,,,,
