id,eng,afr,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info
cput_termbank_data_394,Edition,Uitgawe,,,,
cput_termbank_data_395,Editors,Redakteurs,,,,
cput_termbank_data_396,Electronic collection,Elektroniese versameling,,,,
cput_termbank_data_397,Electronic Theses and Dissertations,Elektroniese tesisse en dissertasies,,,,
cput_termbank_data_398,Embargo,Embargo,,,,
cput_termbank_data_399,EndNote,EndNote,,,,
cput_termbank_data_400,Encyclopaedia,Ensiklopedie,,,,
cput_termbank_data_401,eSango,eSango,,,,
cput_termbank_data_402,Ethics,Etiek navorsing,,,,
cput_termbank_data_403,Everything available,Everything available,,,,
cput_termbank_data_404,Everything we have,Everything we have,,,,
cput_termbank_data_405,Everything full text online,Everything full text online,,,,
cput_termbank_data_406,Expand my results,Expand my results,,,,
cput_termbank_data_407,Fake news,Fopnuus,,,,
cput_termbank_data_408,Facebook,Facebook,,,,
cput_termbank_data_409,Faculty librarian,Fakulteitsbibliotekaris,,,,
cput_termbank_data_410,Filter results,Filter resultate,,,,
cput_termbank_data_411,File Digital,Lêer digitaal,,,,
cput_termbank_data_412,File format,Lêerformaat,,,,
cput_termbank_data_413,File type,Lêertipe,,,,
cput_termbank_data_414,Fines,Boetes,,,,
cput_termbank_data_415,Follow online,Volg aanlyn,,,,
cput_termbank_data_416,Format,Formaat,,,,
cput_termbank_data_417,My Favourites Library SEARCH,My favourites Library SEARCH,,,,
cput_termbank_data_418,Figshare,Figshare,,,,
cput_termbank_data_419,Full text availability,Volteks beskikbaar,,,,
cput_termbank_data_420,Funder,Befondser,,,,
cput_termbank_data_421,Glossary,Woordelys,,,,
cput_termbank_data_422,Genre,Genre,,,,
cput_termbank_data_423,Groups online,Groepe aanlyn,,,,
cput_termbank_data_424,Harvard referencing style,Harvard-verwysingstyl,,,,
cput_termbank_data_425,Illustrator,Illustreerder,,,,
cput_termbank_data_426,IL Summative Assessment,Summatiewe Assessering van nformasiegeletterdheid,,,,
cput_termbank_data_427,Imprint page,Afdrukblad,,,,
cput_termbank_data_428,Index,Indeks,,,,
cput_termbank_data_429,Index and Abstract database,Indeks en opsommingsdatabasis,,,,
cput_termbank_data_430,Information source,Informasiebron,,,,
cput_termbank_data_431,Information literacy,Informasiegeletterdheid,,,,
cput_termbank_data_432,Information tools,Informasieinstrumente,,,,
cput_termbank_data_433,Institutional Repository,Institusionele Repositorium,,,,
cput_termbank_data_434,Inter-branch loan,Intertaklening,,,,
cput_termbank_data_435,Inter-library loan,Interbiblioteek lening,,,,
cput_termbank_data_436,In-text citations,Inteks aanhalings,,,,
cput_termbank_data_437,Instagram,Instagram,,,,
cput_termbank_data_438,Introduction,Inleiding,,,,
cput_termbank_data_439,Issue date publication,Uitreikingsdatum publikasie,,,,
cput_termbank_data_440,ISBN,ISBN,,,,
cput_termbank_data_441,ISSN,ISSN,,,,
cput_termbank_data_442,Journal,Joernaal,,,,
cput_termbank_data_443,Journal issue,Joernaluitgawe,,,,
cput_termbank_data_444,Journal metrics,Joernaalstatistieke,,,,
cput_termbank_data_445,Journal search,Joernaalsoektog,,,,
cput_termbank_data_446,Journal volume,Tydskrifvolume,,,,
cput_termbank_data_447,Keywords,Sleutelwoorde,,,,
cput_termbank_data_448,Learning commons,Algemene leerarea,,,,
cput_termbank_data_449,LibChat,LibChat,,,,
cput_termbank_data_450,LibGuide,LibGuide,,,,
cput_termbank_data_451,Librarian,Bibliotekaris,,,,
cput_termbank_data_452,Library academic,Biblioteek akademies,,,,
cput_termbank_data_453,Student staff card,Studente,,,,
cput_termbank_data_454,Library Guides,Biblioteekgidse,,,,
